"ID","TYPE","SHAPE","AREA_M2"
WCC_SW000008,Manhole,POINT (1747625.056503296 5424745.099197388),12493.645904571022
WCC_SW000014,Manhole,POINT (1748965.2655029297 5424970.733200073),23.491439314442687
WCC_SW000021,Manhole,POINT (1750908.4934997559 5423392.953201294),2591.916392841493
WCC_SW000022,Manhole,POINT (1751461.3355026245 5424308.901199341),208.81693901889957
WCC_SW000023,Manhole,POINT (1751640.2685012817 5423535.046203613),2338.567173887859
WCC_SW000032,Manhole,POINT (1752593.181503296 5423756.208198547),2533.925962648733
WCC_SW000056,Manhole,POINT (1748143.6654968262 5426290.357200623),2599.2324259420275
WCC_SW000071,Manhole,POINT (1747091.1614990234 5430008.736198425),3738.9782878418337
WCC_SW000085,Manhole,POINT (1748876.6165008545 5431577.936203003),77.5536572500132
WCC_SW000105,Manhole,POINT (1751838.6474990845 5433962.901199341),361.00785964610986
WCC_SW000106,Manhole,POINT (1751740.1965026855 5435667.130203247),1996.0963195774239
WCC_SW000139,Manhole,POINT (1744014.6744995117 5427269.734199524),797.2290500652161
WCC_SW000146,Manhole,POINT (1748017.3164978027 5427384.820198059),1050.0720009899815
WCC_SW000148,Manhole,POINT (1748012.4875030518 5427414.215202332),636.2948162602261
WCC_SW000149,Manhole,POINT (1748014.7614974976 5427400.846199036),773.6814288551395
WCC_SW000152,Manhole,POINT (1748646.2375030518 5427110.606201172),44.814334105700254
WCC_SW000167,Manhole,POINT (1750523.4934997559 5427580.672203064),1282.168312588823
WCC_SW000180,Manhole,POINT (1749745.847503662 5431776.484199524),349.7207292467647
WCC_SW000183,Manhole,POINT (1750498.8044967651 5432883.980201721),176.4313788319123
WCC_SW000186,Manhole,POINT (1751971.729499817 5432525.831199646),37.665279265493155
WCC_SW000190,Manhole,POINT (1751984.548500061 5432521.289199829),131.73685951903462
WCC_SW000198,Manhole,POINT (1747138.7484970093 5427890.637199402),1068.9704875075258
WCC_SW000255,Manhole,POINT (1747188.50050354 5421832.126197815),3541.2023870159464
WCC_SW000256,Manhole,POINT (1747452.00050354 5421114.643203735),315.879494749679
WCC_SW000261,Manhole,POINT (1748408.931503296 5421640.677200317),549.4135319708148
WCC_SW000266,Manhole,POINT (1749955.6484985352 5424684.127197266),390.06017087900545
WCC_SW000267,Manhole,POINT (1750418.232498169 5424052.08820343),2348.795393012115
WCC_SW000026,Manhole,POINT (1751728.2085037231 5424692.098197937),1288.726650846802
WCC_SW000276,Manhole,POINT (1748335.670501709 5425713.937202454),17758.50085157351
WCC_SW000278,Manhole,POINT (1748993.8795013428 5425520.256202698),2906.183738117572
WCC_SW000280,Manhole,POINT (1745855.2444992065 5428075.917198181),1946.255490492622
WCC_SW000284,Manhole,POINT (1745787.1204986572 5428075.172203064),74.19367693876848
WCC_SW000285,Manhole,POINT (1747475.9875030518 5426080.801200867),611.5802538370481
WCC_SW000288,Manhole,POINT (1748567.7614974976 5426371.716201782),173.08932827916578
WCC_SW000290,Manhole,POINT (1748563.1445007324 5426337.813201904),2759.9504225602723
WCC_SW000291,Manhole,POINT (1748533.6835021973 5427144.620201111),1595.025707889843
WCC_SW000297,Manhole,POINT (1749107.392501831 5426435.514198303),317.47004717745585
WCC_SW000301,Manhole,POINT (1749160.1035003662 5428646.550201416),1864.6100909752713
WCC_SW000302,Manhole,POINT (1749185.1504974365 5429038.607200623),604.1320228011464
WCC_SW000303,Manhole,POINT (1749185.798500061 5429037.866203308),88.03640700795222
WCC_SW000305,Manhole,POINT (1747963.628501892 5430909.710197449),4572.893920298287
WCC_SW000307,Manhole,POINT (1748787.0094985962 5430477.949203491),2641.520601405384
WCC_SW000309,Manhole,POINT (1749942.5715026855 5430814.800201416),732.6635303618095
WCC_SW000311,Manhole,POINT (1751470.75050354 5431830.005203247),296.30563992931275
WCC_SW000314,Manhole,POINT (1751724.5445022583 5434903.045196533),1000.8254854023398
WCC_SW000315,Manhole,POINT (1751707.5944976807 5436521.929199219),7713.29025838885
WCC_SW000316,Manhole,POINT (1751628.4384994507 5436506.848197937),2406.327648669365
WCC_SW000317,Manhole,POINT (1751624.1555023193 5436532.495201111),2370.766989509866
WCC_SW000318,Manhole,POINT (1751908.9424972534 5434454.964202881),2664.87134314375
WCC_SW000323,Manhole,POINT (1752482.420501709 5435190.063201904),1038.1504076504207
WCC_SW000324,Manhole,POINT (1752798.2265014648 5435299.886199951),1170.8689714572683
WCC_SW000338,Manhole,POINT (1748719.4244995117 5425026.648200989),891.864125501801
WCC_SW000340,Manhole,POINT (1750856.596496582 5423683.68119812),3647.534596077865
WCC_SW000341,Manhole,POINT (1745882.9014968872 5428117.198196411),579.1129568114993
WCC_SW000344,Manhole,POINT (1748431.735496521 5426525.242202759),61.900014798971824
WCC_SW000351,Manhole,POINT (1750312.639503479 5435300.57219696),942.8667661460931
